D100,Prophecy,Effect,,,,,,,
01–04,"Mutation without, corruption within.","The character begins with 10 Corruption points and one Malignancy chosen from Table 8–15: Malignancies (see page 290). Additionally, when he would gain a malignancy or mutation, he may modify the result of his roll with his Willpower bonus or half his Corruption bonus (whichever is higher).",,,,,,,
05–08,Trust in your fear.,"The character begins with 10 Insanity points and the Phobia Mental Disorder (see page 288). Additionally, he gains the Awareness skill as a Known skill (rank 1) and may re-roll all Awareness tests when in the presence of a Fear causing creature or encounter. If he already possesses this skill, he increases his Perception characteristic by 3 instead.",,,,,,,
09–12,"Humans must die
so that humanity
can endure.","This character gains the Cold Hearted or Jaded talent. If he already possesses these talents, increase his Willpower characteristic by 3 instead.",,,,,,,
13–16,Pain of the body is ecstasy compared to damnation.,"Increase this character’s Toughness by 3, and reduce his Agility characteristic by 3. Additionally, the first time he suffers Critical damage each session, reduce the amount by his Toughness bonus (to a minimum of 1 damage).",,,,,,,
17–20,Be a boon to your allies and the bane of your enemies.,"This character gains the Bodyguard and Hatred (Pick One) talent. If he already possesses these talents, he gains the Look Out, Sir! or Purity of Hatred talent instead.",,,,,,,
21–24,The wise learn from the deaths of others.,"Increase this character's Agility or Intelligence Characteristic by 3, and reduce his Weapon Skill or Ballistic Skill characteristic by 3. Additionally, the first time an allied character he can see or hear suffers Critical Damage each session, he may re-roll one Intelligence (Sensibility), Logic, or Evasion test with a –10 modifier until the end of the encounter.",,,,,,,
25–28,Kill the alien before it can speak its lies.,"This character gains the Quick Draw talent. If he already possesses this talent, increase his Agility characteristic by 3 instead. Additionally, when making an attack during the first round of a combat you initiated (at GM discretion), your weapon gains the Proven (3) quality.",,,,,,,
29–32,Truth is subjective.,"This character gains the Scrutiny skill as a Known skill (rank 1). If he already possesses this skill, he increases his Intelligence characteristic by 3 instead. The first time he would gain 1 or more Corruption points each session, he gains that amount plus 1 instead. Additionally, he may re-roll all tests to resist being persuaded or deceived by appeals to absolute truth or dogma.",,,,,,,x`
33–36,Thought begets Heresy.,"Reduce this character's Intelligence characteristic by 3. The first time he would gain 1 or more Corruption points each session, he reduces that amount by 1 (to a minimum of 0) instead. Additionally, so long as this character has no ranks trained in the Logic or Scrutiny skills, he gains a +10 bonus to resist all psychic powers.",,,,,,,
37–40,Heresy begets Retribution.,"When this character attacks a heretic or traitor (at GM discretion), his weapon gains the Vengeful (9) quality.",,,,,,,
41–44,A mind without purpose wanders in dark places.,"This character gains a +10 bonus to all Extended tests or tests made as part of a Downtime Action to train or do their duty (at GM discretion). If he does not do so for a number of Narrative or Downtime Actions in excess of his WPB, he temporarily gains the Compulsion (Hedonism) Mental Disorder (see page 288) until he returns to his duties.",,,,,,,
45–48,"If a job is worth doing, it is worth dying for.","Increase this character's Toughness or Willpower characteristic by 3. Additionally, he may ignore the effects of one injury (such as those from Critical damage), Fatigue, and Stunning for a single combat each session, so long as it would not kill him outright. Once the encounter ends, the effects trigger as normal.",,,,,,,
49–52,"Dark dreams lie
upon the heart.","This character gains the Not Quite Human (1) trait. Additionally, whenever this character would roll on Table 8–15: Malignancies (see page 290), he may instead select any one result and gain that Malignancy.",,,,,,,
53–56,"Violence solves
everything.","Increase this character's Weapon Skill or Ballistic Skill characteristic by 3, and reduce his Intelligence or Perception characteristic by 3. Additionally, the first time you make a Charge, All Out, Swift, Lightning, Semi-auto Burst, or Full Auto Burst Attack, you score one additional degree of success once per encounter.",,,,,,,
57–60,"Ignorance is a
wisdom of its own.","Reduce this character's Perception characteristic by 3. The first time he would gain 1 or more Insanity points each session, he reduces that amount by 1 (to a minimum
of 0) instead. Additionally, so long as he has no Forbidden Lore skills trained, he gains a +10 bonus to resist any psychic powers that affect his mind.",,,,,,,
61–64,"Only the insane
shall prosper.","The first time this character would gain 1 or more Insanity points each session, he gains that amount plus 1 instead. Additionally, when benefitting from the Only the Insane Shall Prosper rule, he counts his Insanity bonus as one higher.",,,,,,,
65–68,"A suspicious mind
is a healthy mind.","Increase this character’s Perception characteristic by 3. Additionally, the GM may secretly roll Scrutiny tests for him to notice ulterior motives.",,,,,,,
69–72,"Suffering is an
unrelenting instructor.","Increase this character’s Willpower characteristic by 3, and reduce his Toughness characteristic by 3. The first time he is Intimidated, damaged, or humiliated each session, he gains a +20 bonus to the next test he makes until the end of the encounter.",,,,,,,
73–76,The only true fear is dying without your duty done.,"This character gains the Resistance (Cold, Exhaustion, Heat, Poisons, or Radiation) talent. If he already possesses this talent, increase his Toughness characteristic by 3 instead. Additionally, he ignores the –10 penalty to all tests from his first level of Fatigue.",,,,,,,
77–80,"Only in death does
duty end.","This character gains the Resistance (Fear and Pinning) talent. If he already possesses this talent, he gains the Iron Resolve talent instead.",,,,,,,
81–84,Innocence is an illusion.,"Reduce this character's Fellowship characteristic by 3. Additionally, all Charm and Deceive tests against him increase their Difficulty by one level.",,,,,,,
85–88,To war is human.,"This character gains the Dodge or Parry skill as a Known skill (rank 1). If he already possesses these skills, increase his Weapon Skill or Ballistic Skill characteristic by 3 instead.",,,,,,,
89–92,"There is no
substitute for zeal.",Increase this character’s Willpower characteristic by 3. He also gains the Clues from the Crowds or Iron Faith talent.,,,,,,,
93–96,Even one who has nothing can still offer his life.,"When this character burns Fate threshold to survive a lethal injury, roll 1d10. On a result of 1, he survives whatever grievous wound would have killed him but does not reduce his Fate threshold.",,,,,,,
97–100,Do not ask why you serve. Only ask how.,Increase this character's Fate threshold by 1.,,,,,,,
